                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.49771,                0.33906,                 0.8934,                0.93682,                0.93489,                0.97215,                0.89382,                0.44697,                0.31192,                0.87837,               0.006766,               0.006766,               0.006766
                    101,                0.49025,                0.33239,                0.89024,                0.93093,                0.94133,                0.97246,                0.89454,                0.44509,                0.31145,                0.87872,               0.006733,               0.006733,               0.006733
                    102,                 0.4935,                0.34053,                0.89328,                0.93755,                0.93717,                0.97186,                0.89361,                0.44351,                0.31244,                0.87928,                 0.0067,                 0.0067,                 0.0067
                    103,                0.49141,                 0.3357,                0.89518,                0.93535,                0.93725,                 0.9716,                0.89475,                0.44208,                0.31422,                0.87916,               0.006667,               0.006667,               0.006667
                    104,                0.48715,                0.33479,                0.89424,                0.92806,                0.94264,                0.97189,                0.89537,                0.44045,                0.31291,                0.87763,               0.006634,               0.006634,               0.006634
                    105,                0.49134,                0.32891,                0.89196,                0.94206,                0.92979,                0.97148,                0.89444,                 0.4397,                0.31259,                0.87737,               0.006601,               0.006601,               0.006601
                    106,                0.48474,                0.33244,                0.88898,                0.93791,                0.93288,                0.97109,                0.89514,                   0.44,                0.31286,                0.87743,               0.006568,               0.006568,               0.006568
                    107,                0.49421,                0.33617,                0.89413,                0.94074,                 0.9292,                 0.9705,                0.89378,                0.43977,                 0.3135,                0.87694,               0.006535,               0.006535,               0.006535
                    108,                0.48309,                0.32985,                0.88757,                0.93721,                0.93428,                0.97044,                0.89419,                0.43951,                0.31359,                0.87688,               0.006502,               0.006502,               0.006502
                    109,                0.48653,                0.33007,                0.89157,                0.93615,                0.93571,                 0.9708,                0.89357,                0.44013,                0.31288,                0.87688,               0.006469,               0.006469,               0.006469
                    110,                0.48498,                0.32622,                0.89007,                0.92736,                0.94519,                0.97087,                0.89368,                0.43931,                0.31276,                0.87691,               0.006436,               0.006436,               0.006436
                    111,                0.47904,                0.32398,                0.89005,                 0.9302,                0.94318,                 0.9696,                  0.893,                0.43739,                0.31322,                0.87661,               0.006403,               0.006403,               0.006403
                    112,                0.48165,                0.32365,                0.88477,                 0.9319,                0.93922,                0.97035,                0.89407,                0.43625,                0.31198,                0.87633,                0.00637,                0.00637,                0.00637
                    113,                0.48073,                0.32572,                0.88438,                0.93371,                0.93711,                0.97023,                0.89448,                0.43501,                0.31133,                0.87576,               0.006337,               0.006337,               0.006337
